"idcompany","country","channel","profile","idcompany-2","registrationdate","planname","paymentfrequency","lastpaidplan","firstpaymentdate","retirementdate","avgmoninvoices","avgmonbilling","users","downloadreports","helprequests"
56279,"COL","Digital","Empresario",56279,"2020-06-01","pro","1",NULL,"2020-07-25",NULL,50,3960,"2","1","10"
88141,"COL","Digital","Empresario",88141,"2019-08-29","pyme","1",NULL,"2019-10-02",NULL,2574,4136,"4","9","6"
88900,"COL","Digital","Independiente",88900,"2019-12-15","pro","1",NULL,"2020-02-07",NULL,78,5514,"4","1","4"
82200,"COL","Digital","Empresario",82200,"2019-12-17","consulta","1","pyme","2020-03-12","2020-06-11",5,9174,"4","8","1"
57342,"COL","Digital","Empresario",57342,"2022-03-14","pyme","1",NULL,"2022-03-15",NULL,490,1853,"2","0","6"
56428,"COL","Digital","Empresario",56428,"2021-11-17","consulta","1","pyme","2022-01-08","2022-02-27",16,8664,"8","7","5"
77667,"COL","Digital","Empresario",77667,"2019-02-05","pyme","1",NULL,"2019-06-04",NULL,409,3134,"5","2","8"
49793,"COL","Digital","Independiente",49793,"2020-02-04","pyme","1",NULL,"2020-05-15",NULL,54,7874,"8","8","0"
34379,"COL","Digital","Contador",34379,"2019-08-19","pyme","1",NULL,"2019-09-07",NULL,1153,2520,"2","5","4"
56737,"COL","Digital","Empresario",56737,"2019-03-14","pyme","1",NULL,"2019-05-17",NULL,14,6649,"9","5","0"
80152,"COL","Digital","Empresario",80152,"2019-06-05","pyme","1",NULL,"2019-06-24",NULL,16,4933,"5","8","7"
34123,"COL","Digital","Independiente",34123,"2019-12-12","consulta","1","plus","2019-12-13","2020-10-02",2183,2372,"2","7","1"
70974,"COL","Digital","Empresario",70974,"2019-07-01","pyme","1",NULL,"2019-07-13",NULL,2001,6276,"10","6","4"
75039,"COL","Digital","Contador",75039,"2021-05-28","consulta","1",NULL,NULL,NULL,58,4971,"3","5","7"
45508,"COL","Digital","Independiente",45508,"2020-12-12","pyme","1",NULL,"2020-12-13",NULL,2514,5561,"5","1","5"
40581,"COL","Digital","Empresario",40581,"2019-10-12","pyme","1",NULL,"2019-12-01",NULL,33,2789,"2","0","5"
46585,"COL","Digital","Independiente",46585,"2021-02-17","plus","1",NULL,"2021-03-01",NULL,2770,5233,"4","6","9"
89799,"COL","Digital","Independiente",89799,"2022-04-08","pro","1",NULL,"2022-06-15",NULL,473,4463,"8","5","9"
38957,"COL","Digital","Independiente",38957,"2021-01-28","pyme","1",NULL,"2021-01-29",NULL,1802,9622,"2","0","2"
61598,"COL","Digital","Empresario",61598,"2020-12-05","pyme","1",NULL,"2021-01-01",NULL,191,8443,"2","7","5"
94584,"COL","Digital","Independiente",94584,"2021-02-04","pyme","1",NULL,"2021-06-04",NULL,479,9095,"5","10","4"
64873,"COL","Digital","Empresario",64873,"2022-04-12","pyme","1",NULL,"2022-05-03",NULL,418,3404,"4","2","4"
75106,"COL","Digital","Independiente",75106,"2019-03-08","pyme","1",NULL,"2019-04-19",NULL,2003,4972,"7","6","6"
60324,"COL","Digital","Empresario",60324,"2022-01-16","pyme","1",NULL,"2022-06-06",NULL,155,5068,"2","2","9"
52568,"COL","Digital","Empresario",52568,"2019-09-06","consulta","1","plus","2019-10-31","2019-10-31",2937,5248,"5","1","0"
12789,"COL","Digital","Empresario",12789,"2019-05-26","pyme","1",NULL,"2019-07-17",NULL,98,3607,"8","4","6"
62426,"COL","Digital","Contador",62426,"2019-01-23","pyme","1",NULL,"2019-04-04",NULL,29,8707,"4","3","6"
97973,"COL","Digital","Empresario",97973,"2020-03-18","pyme","1",NULL,"2020-05-08",NULL,942,8296,"1","7","1"
76929,"COL","Digital","Empresario",76929,"2020-11-11","pyme","1",NULL,"2020-12-27",NULL,239,8067,"2","6","6"
74023,"COL","Digital","Independiente",74023,"2021-01-17","pyme","1",NULL,"2021-02-20",NULL,5,3324,"8","10","1"
42026,"COL","Digital","Independiente",42026,"2021-06-13","pyme","1",NULL,"2021-07-12",NULL,1052,5396,"9","0","7"
85422,"COL","Digital","Empresario",85422,"2019-10-10","plus","1",NULL,"2020-01-25",NULL,178,5289,"1","9","1"
23514,"COL","Digital","Contador",23514,"2019-05-11","consulta","1","pro","2019-05-12","2019-07-28",93,8911,"7","9","7"
86339,"COL","Digital","Contador",86339,"2021-01-21","pro","1",NULL,"2021-02-09",NULL,163,7956,"7","5","0"
82876,"COL","Digital","Empresario",82876,"2021-10-17","pyme","1",NULL,"2022-02-21",NULL,260,4951,"1","2","8"
95207,"COL","Digital","Independiente",95207,"2019-04-10","pro","1",NULL,"2019-04-11",NULL,5,9862,"3","1","3"
36720,"COL","Digital","Contador",36720,"2021-07-12","consulta","1","pyme","2021-07-14","2021-11-12",28,8676,"4","3","4"
96045,"COL","Digital","Independiente",96045,"2021-08-15","pyme","1",NULL,"2021-12-13",NULL,1685,6168,"9","7","10"
49786,"COL","Digital","Independiente",49786,"2019-08-29","pyme","1",NULL,"2019-08-30",NULL,171,9649,"7","1","2"
75592,"COL","Digital","Empresario",75592,"2020-12-28","pyme","1",NULL,"2021-02-21",NULL,251,9222,"4","4","1"
57853,"COL","Digital","Empresario",57853,"2021-08-28","pro","1",NULL,"2021-08-29",NULL,166,8897,"8","1","7"
28530,"COL","Digital","Empresario",28530,"2019-03-25","plus","1",NULL,"2019-03-26",NULL,2424,9155,"9","7","4"
84514,"COL","Digital","Independiente",84514,"2020-04-28","pro","1",NULL,"2020-07-13",NULL,29,1009,"1","7","6"
23393,"COL","Digital","Independiente",23393,"2020-07-19","consulta","1","pro","2020-07-20","2021-06-03",226,4245,"7","4","6"
63138,"COL","Digital","Empresario",63138,"2019-08-23","consulta","1","pyme","2020-02-06","2021-06-26",42,8481,"10","0","6"
33282,"COL","Digital","Empresario",33282,"2020-02-19","pyme","1",NULL,"2020-05-01",NULL,1250,9299,"6","0","7"
21976,"COL","Digital","Independiente",21976,"2019-03-09","pyme","1",NULL,"2019-03-10",NULL,973,5747,"2","10","3"
51604,"COL","Digital","Independiente",51604,"2021-07-30","pyme","1",NULL,"2021-08-29",NULL,678,5419,"9","2","5"
23575,"COL","Digital","Independiente",23575,"2021-05-03","consulta","1","pro","2021-06-29","2021-08-18",197,5130,"4","8","5"
32822,"COL","Digital","Contador",32822,"2019-06-10","plus","1",NULL,"2019-12-01",NULL,12,8513,"2","6","2"
32968,"COL","Digital","Empresario",32968,"2020-10-16","consulta","1","plus","2020-10-17","2022-08-15",767,6513,"3","1","7"
36467,"COL","Digital","Empresario",36467,"2019-02-23","pro","1",NULL,"2019-05-06",NULL,265,6891,"2","10","8"
89302,"COL","Digital","Empresario",89302,"2019-10-27","pyme","1",NULL,"2019-10-28",NULL,2680,1993,"10","9","10"
94164,"COL","Digital","Empresario",94164,"2021-04-13","pyme","1",NULL,"2021-05-03",NULL,13,5510,"3","5","1"
18500,"COL","Digital","Independiente",18500,"2021-12-08","consulta","1","pro","2021-12-09","2023-06-24",300,6327,"4","2","4"
50412,"COL","Digital","Independiente",50412,"2020-08-04","pro","1",NULL,"2020-09-03",NULL,2962,4173,"2","9","7"
92530,"COL","Digital","Empresario",92530,"2021-01-11","pro","1",NULL,"2021-03-27",NULL,215,2686,"3","2","9"
41357,"COL","Digital","Empresario",41357,"2021-03-24","pyme","1",NULL,"2021-07-12",NULL,8,1272,"10","2","1"
20193,"COL","Digital","Empresario",20193,"2021-01-21","consulta","1","pro","2021-03-25","2021-05-15",289,2063,"5","4","8"
90089,"COL","Digital","Contador",90089,"2019-07-24","pyme","1",NULL,"2019-08-07",NULL,499,3824,"8","6","7"
10204,"COL","Digital","Empresario",10204,"2020-09-30","pyme","1",NULL,"2020-10-01",NULL,93,4001,"2","6","3"
52609,"COL","Digital","Contador",52609,"2020-02-24","pyme","1",NULL,"2020-02-25",NULL,29,5355,"9","5","5"
20602,"COL","Digital","Empresario",20602,"2021-08-31","pyme","1",NULL,"2021-09-01",NULL,23,9696,"3","2","7"
92515,"COL","Digital","Independiente",92515,"2019-05-10","pyme","1",NULL,"2019-05-17",NULL,258,3024,"9","6","5"
77693,"COL","Digital","Empresario",77693,"2022-01-21","plus","1",NULL,"2022-01-22",NULL,1748,5114,"4","8","3"
87774,"COL","Digital","Empresario",87774,"2020-10-11","consulta","1","plus","2021-02-17","2021-08-27",2616,8394,"6","1","9"
42717,"COL","Digital","Empresario",42717,"2019-11-09","consulta","1","pyme","2020-03-23","2020-03-23",36,3035,"3","9","3"
75438,"COL","Digital","Empresario",75438,"2019-02-01","pyme","1",NULL,"2019-02-02",NULL,1203,6923,"10","7","4"
47711,"COL","Digital","Independiente",47711,"2019-09-09","pro","1",NULL,"2019-10-19",NULL,63,4858,"7","6","7"
53623,"COL","Digital","Empresario",53623,"2020-03-14","pyme","1",NULL,"2020-03-20",NULL,1793,1766,"5","7","2"
15311,"COL","Digital","Independiente",15311,"2021-11-18","pyme","1",NULL,"2021-11-19",NULL,11,6983,"4","4","0"
19836,"COL","Digital","Independiente",19836,"2022-02-07","pyme","1",NULL,"2022-02-08",NULL,724,3277,"2","8","4"
80857,"COL","Digital","Empresario",80857,"2021-11-28","plus","1",NULL,"2022-01-25",NULL,318,5068,"4","2","1"
40767,"COL","Digital","Independiente",40767,"2019-09-02","pyme","1",NULL,"2019-09-03",NULL,38,5816,"1","2","4"
68866,"COL","Digital","Empresario",68866,"2020-02-17","plus","1",NULL,"2020-03-02",NULL,1714,2561,"2","6","2"
82164,"COL","Digital","Independiente",82164,"2021-03-03","pyme","1",NULL,"2021-03-05",NULL,377,6509,"3","7","7"
74781,"COL","Digital","Contador",74781,"2019-11-15","pyme","1",NULL,"2020-01-28",NULL,18,6630,"4","9","1"
93172,"COL","Digital","Empresario",93172,"2021-12-01","pyme","1",NULL,"2021-12-11",NULL,30,3396,"4","7","10"
66867,"COL","Digital","Contador",66867,"2019-07-16","pyme","1",NULL,"2019-08-05",NULL,262,7245,"5","4","7"
43449,"COL","Digital","Empresario",43449,"2022-03-21","pyme","1",NULL,"2022-09-24",NULL,481,5672,"7","8","1"
98567,"COL","Digital","Empresario",98567,"2019-06-26","pyme","1",NULL,"2019-10-22",NULL,1351,2041,"2","7","8"
90932,"COL","Digital","Independiente",90932,"2021-03-20","pyme","1",NULL,"2021-03-30",NULL,934,4560,"3","6","0"
37427,"COL","Digital","Independiente",37427,"2019-12-26","pyme","1",NULL,"2019-12-27",NULL,2457,9946,"5","9","6"
73458,"COL","Digital","Empresario",73458,"2019-10-21","pro","1",NULL,"2019-11-01",NULL,49,1233,"5","4","3"
44431,"COL","Digital","Independiente",44431,"2020-05-18","pro","1",NULL,"2020-06-07",NULL,240,2324,"7","1","4"
40732,"COL","Digital","Empresario",40732,"2019-07-03","pyme","1",NULL,"2019-09-21",NULL,27,8189,"9","1","3"
40474,"COL","Digital","Contador",40474,"2019-11-18","pro","1",NULL,"2020-01-12",NULL,62,8362,"2","8","8"
17105,"COL","Digital","Empresario",17105,"2021-03-11","pyme","1",NULL,"2021-04-08",NULL,109,4133,"4","10","1"
93004,"COL","Digital","Independiente",93004,"2020-05-01","pyme","1",NULL,"2020-10-11",NULL,2341,4472,"8","0","4"
46034,"COL","Digital","Empresario",46034,"2019-01-25","consulta","1",NULL,NULL,NULL,10,3074,"7","10","5"
84695,"COL","Digital","Independiente",84695,"2019-09-20","pyme","1",NULL,"2019-11-04",NULL,20,4483,"4","1","2"
68861,"COL","Digital","Contador",68861,"2022-03-18","consulta","1","pyme","2022-03-21","2022-03-21",25,7496,"3","7","4"
11262,"COL","Digital","Empresario",11262,"2020-11-08","pyme","1",NULL,"2020-11-23",NULL,380,3538,"1","3","2"
12152,"COL","Digital","Empresario",12152,"2021-12-03","pyme","1",NULL,"2021-12-29",NULL,26,8647,"10","7","0"
22011,"COL","Digital","Contador",22011,"2021-08-09","consulta","1","pro","2021-08-10","2023-06-15",454,4738,"8","10","6"
91578,"COL","Digital","Independiente",91578,"2021-01-04","pyme","1",NULL,"2021-01-05",NULL,402,2200,"7","3","2"
14539,"COL","Digital","Empresario",14539,"2021-08-11","pyme","1",NULL,"2021-09-16",NULL,7,5742,"1","6","6"
28673,"COL","Digital","Independiente",28673,"2019-07-21","pyme","1",NULL,"2019-08-26",NULL,824,5957,"5","5","1"
97477,"COL","Digital","Empresario",97477,"2021-08-22","consulta","1","plus","2021-09-13","2023-05-07",1312,9340,"4","8","9"
25655,"COL","Digital","Contador",25655,"2021-11-27","consulta","1","pyme","2022-01-03","2022-04-04",29,6148,"7","9","9"
73275,"COL","Digital","Empresario",73275,"2019-06-10","pro","1",NULL,"2019-06-11",NULL,1777,4598,"6","1","4"
35274,"COL","Digital","Empresario",35274,"2020-06-21","consulta","1","pro","2020-10-01","2020-11-23",246,1805,"9","6","4"
27778,"COL","Digital","Contador",27778,"2019-08-25","pyme","1",NULL,"2019-08-26",NULL,15,5337,"2","6","8"
89375,"COL","Digital","Independiente",89375,"2020-08-06","pyme","1",NULL,"2020-12-15",NULL,29,2674,"8","5","2"
83490,"COL","Digital","Empresario",83490,"2019-08-21","pro","1",NULL,"2019-11-09",NULL,31,3676,"9","8","10"
63079,"COL","Digital","Independiente",63079,"2022-03-11","pyme","1",NULL,"2022-03-12",NULL,49,5879,"9","7","8"
56513,"COL","Digital","Empresario",56513,"2022-03-22","pyme","1",NULL,"2022-07-11",NULL,2706,3872,"9","10","2"
12293,"COL","Digital","Independiente",12293,"2021-01-18","consulta","1",NULL,NULL,NULL,15,8496,"2","9","1"
84770,"COL","Digital","Empresario",84770,"2020-09-10","consulta","1","pro","2020-11-24","2020-11-24",304,1353,"9","9","3"
91582,"COL","Digital","Empresario",91582,"2021-12-30","consulta","1","pro","2021-12-31","2022-02-19",240,4874,"3","10","4"
33046,"COL","Digital","Empresario",33046,"2019-07-31","consulta","1","pro","2019-08-01","2019-09-20",226,7744,"9","7","6"
62853,"COL","Digital","Independiente",62853,"2019-11-19","pyme","1",NULL,"2019-11-20",NULL,2194,3053,"7","7","10"
95479,"COL","Digital","Independiente",95479,"2022-03-31","pyme","1",NULL,"2022-04-26",NULL,567,6936,"5","6","8"
31911,"COL","Digital","Contador",31911,"2022-01-30","consulta","1","pro","2022-01-31","2022-01-31",456,8188,"2","5","8"
65287,"COL","Digital","Independiente",65287,"2019-11-05","pyme","1",NULL,"2019-11-09",NULL,123,7533,"3","9","0"
43912,"COL","Digital","Independiente",43912,"2021-03-24","pyme","1",NULL,"2021-06-20",NULL,1430,1879,"9","6","9"
42053,"COL","Digital","Empresario",42053,"2020-01-12","pro","1",NULL,"2020-01-13",NULL,2663,9851,"1","7","5"
45603,"COL","Digital","Independiente",45603,"2020-07-06","pyme","1",NULL,"2020-07-30",NULL,30,6853,"8","1","6"
51351,"COL","Digital","Empresario",51351,"2022-02-10","plus","1",NULL,"2022-02-19",NULL,2254,6158,"7","10","6"
21393,"COL","Digital","Independiente",21393,"2020-07-10","pyme","1",NULL,"2020-07-29",NULL,991,7355,"9","4","0"
99994,"COL","Digital","Independiente",99994,"2019-06-27","pyme","1",NULL,"2019-10-30",NULL,31,1377,"2","5","5"
53021,"COL","Digital","Contador",53021,"2021-09-13","consulta","1","plus","2021-10-21","2023-06-03",1044,4846,"6","5","1"
29072,"COL","Digital","Independiente",29072,"2019-06-17","pro","1",NULL,"2019-10-17",NULL,411,3523,"6","3","0"
26327,"COL","Digital","Empresario",26327,"2021-07-08","pyme","1",NULL,"2021-08-24",NULL,2361,1027,"10","8","5"
45481,"COL","Digital","Independiente",45481,"2022-02-10","consulta","1",NULL,NULL,NULL,35,6407,"3","3","2"
77018,"COL","Digital","Empresario",77018,"2020-04-18","pyme","1",NULL,"2020-05-17",NULL,221,4339,"4","2","1"
11777,"COL","Digital","Empresario",11777,"2020-07-25","pro","1",NULL,"2020-08-24",NULL,119,8795,"7","5","7"
41406,"COL","Digital","Independiente",41406,"2021-09-19","pro","1",NULL,"2021-11-20",NULL,28,6830,"6","4","7"
10564,"COL","Digital","Empresario",10564,"2021-07-02","pyme","1",NULL,"2021-10-13",NULL,36,7573,"1","7","9"
65206,"COL","Digital","Empresario",65206,"2020-09-18","pyme","1",NULL,"2020-09-19",NULL,48,1457,"6","6","6"
30832,"COL","Digital","Independiente",30832,"2022-02-15","consulta","1","pro","2022-05-06","2022-06-20",158,6592,"5","8","0"
94350,"COL","Digital","Independiente",94350,"2021-12-18","consulta","1","pyme","2022-01-23","2023-07-05",16,1768,"6","8","9"
10385,"COL","Digital","Contador",10385,"2020-02-01","pyme","1",NULL,"2020-03-26",NULL,47,2922,"8","2","4"
10040,"COL","Digital","Empresario",10040,"2021-10-30","consulta","1","pro","2021-11-25","2022-01-02",442,1011,"8","9","3"
51988,"COL","Digital","Contador",51988,"2020-02-07","consulta","1","pro","2020-02-08","2021-06-28",288,6854,"9","7","10"
71600,"COL","Digital","Independiente",71600,"2021-09-21","pyme","1",NULL,"2021-10-21",NULL,10,4328,"8","1","3"
71416,"COL","Digital","Empresario",71416,"2022-01-19","pro","1",NULL,"2022-01-27",NULL,16,1397,"7","6","8"
36344,"COL","Digital","Independiente",36344,"2019-04-27","pyme","1",NULL,"2019-05-27",NULL,41,3283,"10","7","8"
32006,"COL","Digital","Empresario",32006,"2021-06-13","pyme","1",NULL,"2021-06-14",NULL,389,4527,"7","3","9"
38911,"COL","Digital","Contador",38911,"2020-07-10","consulta","1","plus","2020-07-11","2020-08-23",1768,1634,"10","10","7"
28400,"COL","Digital","Contador",28400,"2021-11-18","pro","1",NULL,"2021-11-19",NULL,50,8185,"8","7","1"
41621,"COL","Digital","Independiente",41621,"2020-05-08","pyme","1",NULL,"2020-05-09",NULL,409,1937,"2","0","5"
20328,"COL","Digital","Independiente",20328,"2020-11-30","pyme","1",NULL,"2021-02-01",NULL,19,7310,"7","4","3"
77686,"COL","Digital","Independiente",77686,"2020-07-04","pyme","1",NULL,"2020-08-09",NULL,288,2273,"4","6","6"
